event_id_cnty,day,month,year,event_date,fatalities,disorder_type,event_type,sub_event_type,actor1,inter1,actor2,inter2,interaction,civilian_targeting,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,time_precision
NIR30836,6,May,2024,06-05-2024,0,Strategic developments,Strategic developments,Looting/property destruction,Islamic State (West Africa),2,Civilians (Niger),7,27,,Western Africa,Niger,Diffa,Diffa,Diffa,Diffa,13.32,12.61,2,Twitter,New media,"Looting: On 6 May 2024, likely ISWAP militants seized an ambulance belonging to Chetimari CSI in mission in Sola, village east of Diffa, location coded to Diffa (Diffa, Diffa). The reason of the incident was unknown.",1
NIR30837,6,May,2024,06-05-2024,0,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Islamic State (West Africa),2,Military Forces of Niger (2023-),1,12,,Western Africa,Niger,Diffa,Diffa,Diffa,Diffa,13.32,12.61,2,Twitter,New media,"On 6 May 2024, an IED likely planted by ISWAP militants exploded during a military pursuit in the area of Diffa (Diffa, Diffa). The military launched the pursuit after the militants seized an ambulance earlier. There were no fatalities.",1
NIR30839,6,May,2024,06-05-2024,0,Political violence,Violence against civilians,Abduction/forced disappearance,Islamic State (West Africa),2,Civilians (Niger),7,27,Civilian targeting,Western Africa,Niger,Diffa,Diffa,Chetimari,Chetimari,13.1853,12.4239,1,Radio Television du Niger (RTN),Other,"Around 6 May 2024 (between 5 - 8 May), likely ISWAP militants abducted a woman in Chetimari (Diffa, Diffa). Alerted, the FDS initiated a successful pursuit and free the abductee. They also arrested 2 militants and seized their weapons.",2
NIR30843,6,May,2024,06-05-2024,0,Strategic developments,Strategic developments,Disrupted weapons use,Military Forces of Niger (2023-),1,Islamic State (West Africa),2,12,,Western Africa,Niger,Diffa,Diffa,Diffa,Lada,13.3013,12.646,1,Radio Television du Niger (RTN),Other,"Defusal: Around 6 May 2024 (between 5 - 8 May), Niger army forces discovered and defused an IED likely planted by ISWAP militants in Lada (Diffa, Diffa).",2
NIR30846,6,May,2024,06-05-2024,3,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Niger (2023-),1,Islamic State (Sahel),2,12,,Western Africa,Niger,Tillaberi,Ayerou,Inates,Haguaye Peul,15.0485,1.1759,2,Radio Television du Niger (RTN),Other,"On 6 May 2024, Niger military carried out an airstrike against likely IS Sahel militants in the area of Haguaye [Haguaye Peulh](Ayerou, Tillaberi). Several militants were killed and injured. Unspecified number of militants fatalities coded as 3.",1
NIR30844,6,May,2024,06-05-2024,0,Political violence,Violence against civilians,Abduction/forced disappearance,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,2,Civilians (Niger),7,27,Civilian targeting,Western Africa,Niger,Diffa,N'Guigmi,N'Guigmi,Kirtchoua,14.4034,13.3971,1,Undisclosed Source,Local partner-Other,"On 6 May 2024, Boko Haram (JAS) militants abducted 2 civilians (a man and a child) in the village of Kirtchoua (N'Guigmi, Diffa) after an incursion. The militants also stole more than 100 heads of cattle belonging to the victims.",1
NIR30845,6,May,2024,06-05-2024,0,Political violence,Violence against civilians,Abduction/forced disappearance,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,2,Civilians (Niger),7,27,Civilian targeting,Western Africa,Niger,Diffa,N'Guigmi,N'Guigmi,Oudi Peulh,14.1293,12.9799,1,Undisclosed Source,Local partner-Other,"On 6 May 2024, Boko Haram (JAS) militants abducted 9 civilians (2 women and 7 young girls) in the village of Oudi Peulh (N'Guigmi, Diffa) after an incursion. The reason of the abduction was unknown.",1
NIR30835,5,May,2024,05-05-2024,0,Strategic developments,Strategic developments,Other,Islamic State (West Africa),2,Civilians (Niger),7,27,,Western Africa,Niger,Diffa,Diffa,Diffa,Lada,13.3013,12.646,1,Twitter,New media,"Other: On 5 May 2024, ISWAP militants ordered residents to leave Lada (Diffa, Diffa). The decision came after their meeting where they decided not to let the hydro-agricultural development work in the area takes place.",1
NIR30833,4,May,2024,04-05-2024,0,Political violence,Battles,Armed clash,FPL: Patriotic Liberation Front,3,Police Forces of Niger (2023-) National Guard,1,13,,Western Africa,Niger,Agadez,Bilma,Djado,Siguidine,20.2016,12.973,1,Aniamey; Twitter; Undisclosed Source; Whatsapp,Local partner-Other,"On 4 May 2024, FPL fighters attacked the National Guard post in Siguidine (Bilma, Agadez). Many vehicles were destroyed, some weapons taken away, and buildings were damaged. There were no casualties.",1
NIR30834,4,May,2024,04-05-2024,0,Strategic developments,Strategic developments,Disrupted weapons use,Military Forces of Niger (2023-),1,Islamic State (West Africa),2,12,,Western Africa,Niger,Diffa,Diffa,Diffa,Lada,13.3013,12.646,1,Radio Television du Niger (RTN),Other,"Defusal: On 4 May 2024, Niger army discovered and defused 5 IEDs likely planted by ISWAP militants on the ONAHA agricultural works site in Lada (Diffa, Diffa).",1
NIR30840,4,May,2024,04-05-2024,1,Political violence,Violence against civilians,Attack,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,2,Civilians (Niger),7,27,Civilian targeting,Western Africa,Niger,Diffa,N'Guigmi,N'Guigmi,Sheleya Sud,14.2102,13.4398,1,Undisclosed Source,Local partner-Other,"On 4 May 2024, Boko Haram (JAS) militants killed a civilian in the village of Sheleya Sud (N'Guigmi, Diffa). The civilian was in possession of a cellphone which was forbidden in the area by Boko Haram (JAS) militants.",1
NIR30841,4,May,2024,04-05-2024,0,Strategic developments,Strategic developments,Other,JNIM: Group for Support of Islam and Muslims,2,Civilians (Niger),7,27,,Western Africa,Niger,Tillaberi,Torodi,Makalondi,Hanlondi,12.7575,1.7516,1,Undisclosed Source,Local partner-Other,"Other: On 4 May 2024, JNIM militants ordered the residents in the village of Hanlondi (Torodi, Tillaberi) to leave the area in the next 24 hours or face reprisals.",1
NIR30842,4,May,2024,04-05-2024,0,Strategic developments,Strategic developments,Other,JNIM: Group for Support of Islam and Muslims,2,Civilians (Niger),7,27,,Western Africa,Niger,Tillaberi,Torodi,Makalondi,Koulbou,12.805,1.7528,1,Undisclosed Source,Local partner-Other,"Other: On 4 May 2024, JNIM militants ordered the inhabitants in the villages of Koulbou (Torodi, Tillaberi) and Koapourou (Torodi, Tillaberi), location coded to Koulbou (Torodi, Tillaberi) to leave under penalty of reprisals.",1
NIR30830,3,May,2024,03-05-2024,0,Strategic developments,Strategic developments,Disrupted weapons use,Military Forces of Niger (2023-),1,MNJ: Nigerien Movement for Justice,2,12,,Western Africa,Niger,Agadez,Iferouane,Iferouane,Iferouane,19.0625,8.42,2,Radio Television du Niger (RTN),Other,"Defusal: On 3 May 2024, Niger military destroyed an IED discovered by residents in the Aguelal junction on the Gougarame - Iferouane road, location coded to Iferouane (Iferouane, Agadez). It was an unexploded IED that dated from the Nigerien Movement for Justice (MNJ) era.",1
NIR30831,3,May,2024,03-05-2024,0,Political violence,Battles,Armed clash,JNIM: Group for Support of Islam and Muslims,2,Military Forces of Niger (2023-),1,12,,Western Africa,Niger,Tillaberi,Gotheye,Gotheye,Boulkagou,13.5888,1.3466,2,Radio Television du Niger (RTN),Other,"Around 3 May 2024 (between 2 - 4 May), a Niger army patrol came under indirect harassing fires from likely JNIM militants after destroying 3 IEDs in the area of Boulkagou (Gotheye, Tillaberi) and Kourtchoungou (Gotheye, Tillaberi).",2
NIR30832,3,May,2024,03-05-2024,0,Strategic developments,Strategic developments,Disrupted weapons use,Military Forces of Niger (2023-),1,JNIM: Group for Support of Islam and Muslims,2,12,,Western Africa,Niger,Tillaberi,Torodi,Makalondi,Mossi Paga,12.7474,1.6397,2,Radio Television du Niger (RTN),Other,"Defusal: Around 3 May 2024 (between 2 - 4 May), Niger army discovered and destroyed an IED likely planted by JNIM militants in the area of Mossi Paga (Torodi, Tillaberi).",2
NIR30822,2,May,2024,02-05-2024,0,Political violence,Battles,Armed clash,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,2,Police Forces of Niger (2023-),1,12,,Western Africa,Niger,Diffa,N'Guigmi,N'Guigmi,NGuigmi,14.2495,13.1092,1,Twitter,New media,"On 2 May 2024, Boko Haram (JAS) militants attacked the police post in the town of Nguigmi (N'Guigmi, Diffa). Casualties unknown.",1
NIR30823,2,May,2024,02-05-2024,0,Political violence,Violence against civilians,Attack,Islamic State (West Africa),2,Civilians (Niger),7,27,Civilian targeting,Western Africa,Niger,Diffa,Diffa,Chetimari,Boula Adam,13.1856,12.2626,2,Twitter,New media,"On 2 May 2024, likely ISWAP militants attacked a vehicle of Diffa Department of Agriculture near Boula Adambe [Boula Adam] (Diffa, Diffa). Despite his injuries, the driver managed to escape the militants with the vehicle.",1
NIR30828,2,May,2024,02-05-2024,0,Strategic developments,Strategic developments,Agreement,Islamic State (West Africa),2,Military Forces of Niger (2023-),1,12,,Western Africa,Niger,Diffa,Bosso,Bosso,Bosso,13.6987,13.3095,1,Undisclosed Source,Local partner-Other,"On 2 May 2024, five ISWAP militants surrendered to authorities in Bosso (Bosso, Diffa).",1
NIR30829,2,May,2024,02-05-2024,0,Political violence,Battles,Armed clash,Military Forces of Niger (2023-),1,Islamic State (West Africa),2,12,,Western Africa,Niger,Diffa,Diffa,Diffa,Diffa,13.32,12.61,2,Radio Television du Niger (RTN),Other,"On 2 May 2024, military forces clashed with likely ISWAP militants in the area of Diffa (Diffa, Diffa). Casualties unknown.",1
NIR30821,1,May,2024,01-05-2024,0,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,2,Military Forces of Niger (2023-),1,12,,Western Africa,Niger,Diffa,Diffa,Diffa,Lada,13.3013,12.646,1,Twitter,New media,"On 1 May 2024, a military patrol hit an IED likely planted by Boko Haram (JAS) militants in Lada (Diffa, Diffa). There were 3 soldiers injured and their vehicle destroyed.",1
NIR30824,1,May,2024,01-05-2024,3,Political violence,Battles,Armed clash,Military Forces of Niger (2023-),1,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,2,12,,Western Africa,Niger,Diffa,N'Guigmi,N'Guigmi,NGuigmi,14.2495,13.1092,1,Undisclosed Source,Local partner-Other,"On 1 May 2024, overnight Niger military clashed with likely Boko Haram (JAS) militants that tried to attack civilians in Kassouan-Dare, a district of NGuigmi (N'Guigmi, Diffa). There were no injured among the soldiers, but some fishermen saw corpses. Unspecified number of militants fatalities coded as 3.",1
NIR30825,1,May,2024,01-05-2024,0,Strategic developments,Strategic developments,Other,Islamic State (Sahel),2,Civilians (Niger),7,27,,Western Africa,Niger,Tillaberi,Ayerou,Ayerou,Bongouro,14.6799,0.8755,1,Undisclosed Source,Local partner-Other,"Other: On 1 May 2024, IS Sahel militants fired shots in the air without causing any casualties in the village of Bongouro (Ayerou, Tillaberi). Alerted, the FDS initiated an unsuccessful pursuit.",1
NIR30826,1,May,2024,01-05-2024,1,Political violence,Violence against civilians,Attack,JNIM: Group for Support of Islam and Muslims,2,Civilians (Niger),7,27,Civilian targeting,Western Africa,Niger,Tillaberi,Say,Ouro Gueladjo,Ouro Sori,13.0805,1.9707,1,Undisclosed Source,Local partner-Other,"On 1 May 2024, JNIM militants killed an internally displaced person (IDP) for reasons that are not known in Ouro Sori, village in Ouro Gueladjo commune, location coded to Ouro Gueladjo (Say, Tillaberi).",1
NIR30827,1,May,2024,01-05-2024,0,Strategic developments,Strategic developments,Looting/property destruction,Islamic State (Sahel),2,Civilians (Niger),7,27,,Western Africa,Niger,Tillaberi,Tera,Kokorou,Foneko,14.2058,0.7438,1,Undisclosed Source,Local partner-Other,"Property destruction: On 1 May 2024, IS Sahel militants set an integrated health center (CSI) on fire after stealing medicine from it in Foneko Tedjo [Foneko] (Tera, Tillaberi).",1
NIR30820,30,April,2024,30-04-2024,1,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Niger),3,Civilians (Niger),7,37,Civilian targeting,Western Africa,Niger,Agadez,Tchirozerine,Agadez,Agadez,16.97,7.99,2,Studio Kalangou; Twitter,New media-National,"On 30 April 2024, an unidentified armed group attacked a bus transporting passengers near the village of Bab Salam, no less than 50km from the exit of Agadez - Tahoua axis, location coded to Agadez (Tchirozerine, Agadez). There was 1 civilian killed and 6 others injured.",1
NIR30814,29,April,2024,29-04-2024,1,Political violence,Battles,Armed clash,Unidentified Armed Group (Niger),3,Police Forces of Niger (2023-),1,13,,Western Africa,Niger,Dosso,Gaya,Tanda,Tenda,11.9885,3.3156,2,Le Souffle de Maradi,New media,"On 29 April 2024, an unidentified armed group attacked a police station along the Gaya - Tenda road, location coded to Tenda (Gaya, Dosso). The military intervened and repelled by the militants after they set a vehicle and the police station hangar on fire. There was 1 civilian killed, 1 soldier injured, and two AK-47 assault rifles and an automatic pistol recovered by the military.",1
NIR30815,29,April,2024,29-04-2024,0,Strategic developments,Strategic developments,Agreement,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,2,Military Forces of Niger (2023-),1,12,,Western Africa,Niger,Diffa,Bosso,Bosso,Bosso,13.6987,13.3095,1,Undisclosed Source,Local partner-Other,"On 29 April 2024, Four Boko Haram (JAS) militants surrendered to authorities in Bosso (Bosso, Diffa).",1
NIR30816,29,April,2024,29-04-2024,0,Demonstrations,Protests,Peaceful protest,Protesters (Niger),6,,0,60,,Western Africa,Niger,Niamey,Ville de Niamey,Niamey III,Niamey,13.52,2.12,1,ANP (Niger),National,"On 29 April 2024, students including members of the USN staged a demonstration in Niamey (Ville de Niamey, Niamey). The organizer, the Union of Nigerien Students, demanded the unconditional departure of American troops from Niger.",1
NIR30817,29,April,2024,29-04-2024,0,Demonstrations,Protests,Peaceful protest,Protesters (Niger),6,,0,60,,Western Africa,Niger,Diffa,Diffa,Diffa,Diffa,13.32,12.61,1,ANP (Niger),National,"On 29 April 2024, students members of the USN staged a demonstration in Diffa (Diffa, Diffa) in support of the National Council for the Safeguarding of the Homeland (CNSP) to continue the fight for the national sovereignty of Niger.",1
NIR30818,29,April,2024,29-04-2024,0,Demonstrations,Protests,Peaceful protest,Protesters (Niger),6,,0,60,,Western Africa,Niger,Maradi,Ville de Maradi,Maradi II,Maradi,13.5,7.1017,1,Le Souffle de Maradi,New media,"On 29 April 2024, thousands of students including members of the USN staged a demonstration in Maradi (Ville de Maradi, Maradi) in support of the National Council for the Safeguarding of the Homeland (CNSP) decision to expel all foreign forces from Niger.",1
NIR30819,29,April,2024,29-04-2024,0,Demonstrations,Protests,Peaceful protest,Protesters (Niger),6,,0,60,,Western Africa,Niger,Tahoua,Ville de Tahoua,Tahoua II,Tahoua,14.89,5.27,1,ANP (Niger),National,"On 29 April 2024, thousands of students including members of the USN staged a demonstration in Tahoua (Ville de Tahoua, Tahoua). The protesters demanded the revision of all mining and oil agreements and the closure of all foreign bases in Niger.",1
NIR30812,28,April,2024,28-04-2024,6,Political violence,Violence against civilians,Attack,Islamic State (Sahel),2,Civilians (Niger),7,27,Civilian targeting,Western Africa,Niger,Tillaberi,Tillaberi,Dessa,Dessa,14.5259,1.1063,2,Undisclosed Source,Local partner-Other,"On 28 April 2024, IS Sahel militants attacked the village of Woyeye Goungou, commune de Dessa, location coded to Dessa (Tillaberi, Tillaberi). There were 6 people killed and several others injured.",1
NIR30813,28,April,2024,28-04-2024,0,Strategic developments,Strategic developments,Agreement,Islamic State (West Africa),2,Military Forces of Niger (2023-),1,12,,Western Africa,Niger,Diffa,Bosso,Bosso,Bosso,13.6987,13.3095,1,Undisclosed Source,Local partner-Other,"On 28 April 2024, two ISWAP militants surrendered to authorities in Bosso (Bosso, Diffa).",1
NIR30809,26,April,2024,26-04-2024,1,Political violence,Battles,Armed clash,Military Forces of Niger (2023-),1,Islamic State (Sahel),2,12,,Western Africa,Niger,Tillaberi,Abala,Abala,Chimbarkawane,15.2058,3.546,1,Conseil National pour la Sauvegarde de la Patrie (CNSP),Other,"Around 26 April 2024 (between 25 - 27 April), Niger military clashed with likely IS Sahel militants in Chimbarkawane (Abala, Tillaberi). There was 1 militant killed.",2
NIR30810,26,April,2024,26-04-2024,2,Political violence,Battles,Armed clash,Military Forces of Niger (2023-),1,Unidentified Armed Group (Niger),3,13,,Western Africa,Niger,Tahoua,Birni N'Konni,Allela,Alela,13.9166,4.8167,1,Conseil National pour la Sauvegarde de la Patrie (CNSP),Other,"Around 26 April 2024 (between 25 - 27 April), Niger military clashed with two unidentified armed group members in Alela (Birni N'Konni, Tahoua). The two militants were killed and the soldiers seized 2 AK47 assault rifles with their loaded magazines.",2
NIR30811,26,April,2024,26-04-2024,0,Strategic developments,Strategic developments,Looting/property destruction,Islamic State (Sahel),2,Civilians (Niger),7,27,,Western Africa,Niger,Tillaberi,Banibangou,Banibangou,Tiloa,15.0644,2.0624,2,Conseil National pour la Sauvegarde de la Patrie (CNSP),Other,"Looting: Around 26 April 2024 (between 25 - 27 April), likely IS Sahel militants intercepted and looted a truck carrying goods in the area of Tiloa (Banibangou, Tillaberi).",2
NIR30806,25,April,2024,25-04-2024,0,Political violence,Violence against civilians,Abduction/forced disappearance,Islamic State (Sahel),2,Civilians (Niger),7,27,Civilian targeting,Western Africa,Niger,Tillaberi,Filingue,Filingue,Talcho,14.5785,3.3654,1,Undisclosed Source,Local partner-Other,"On 25 April 2024, IS Sahel militants abducted a civilian for an unknown reason in the village of Talcho (Filingue, Tillaberi).",1
NIR30807,25,April,2024,25-04-2024,0,Strategic developments,Strategic developments,Looting/property destruction,JNIM: Group for Support of Islam and Muslims,2,Civilians (Niger),7,27,,Western Africa,Niger,Tillaberi,Gotheye,Dargol,Bangou Karey Koulbaga,13.8428,1.198,1,Undisclosed Source,Local partner-Other,"Property destruction: On 25 April 2024, JNIM fighters burned classrooms of a primary school during an incursion in the village of Bangou Karey Koulbaga (Gotheye, Tillaberi).",1
NIR30808,25,April,2024,25-04-2024,0,Strategic developments,Strategic developments,Looting/property destruction,JNIM: Group for Support of Islam and Muslims,2,Civilians (Niger),7,27,,Western Africa,Niger,Tillaberi,Gotheye,Dargol,Bangou Tara,13.843,1.3521,1,Conseil National pour la Sauvegarde de la Patrie (CNSP),Other,"Property destruction: On 25 April 2024, likely JNIM militants set classrooms of a school on fire in the village of Bangou Tara (Gotheye, Tillaberi). There were no casualties but several school equipment were destroyed. Alerted, an FDS unit managed to control the fire and launch an unsuccessful pursuit.",1
NIR30805,24,April,2024,24-04-2024,1,Political violence,Battles,Armed clash,Military Forces of Niger (2023-),1,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,2,12,,Western Africa,Niger,Diffa,Maine Soroa,Maine Soroa,Maine Soroa,13.2114,12.0241,1,Conseil National pour la Sauvegarde de la Patrie (CNSP),Other,"Around 24 April 2024 (week of), military forces clashed with a Boko Haram (JAS) militant collector of tax in Maine Soroa (Maine Soroa, Diffa). The militant was killed, and the army seized an AK47.",2
NIR30787,23,April,2024,23-04-2024,0,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,2,Military Forces of Niger (2023-),1,12,,Western Africa,Niger,Diffa,Diffa,Diffa,Lada,13.3013,12.646,2,Aniamey; Radio Television du Niger (RTN),Other-National,"On 23 April 2024, likely Boko Haram (JAS) militants ambushed and attacked a military patrol using an IED near Lada (Diffa, Diffa). The militants ended up retreating towards Nigeria. There were 5 soldiers injured.",1
NIR30796,23,April,2024,23-04-2024,3,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Niger (2023-),1,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,2,12,,Western Africa,Niger,Diffa,Diffa,Diffa,Lada,13.3013,12.646,2,Radio Television du Niger (RTN),Other,"On 23 April 2024, Niger air forces carried out two airstrikes against likely Boko Haram (JAS) militants in area of Lada (Diffa, Diffa) towards the border of Nigeria. The strikes occurred close to the Nigerian border in response to an earlier militant ambush on a military patrol. Unspecified number of militants killed coded as 3.",1
NIR30797,23,April,2024,23-04-2024,0,Strategic developments,Strategic developments,Disrupted weapons use,Military Forces of Niger (2023-),1,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,2,12,,Western Africa,Niger,Diffa,Diffa,Diffa,Lada,13.3013,12.646,2,Radio Television du Niger (RTN),Other,"Defusal: On 23 April 2024, military forces defused an IED likely planted by Boko Haram (JAS) militants near Lada (Diffa, Diffa).",1
NIR30798,23,April,2024,23-04-2024,2,Political violence,Battles,Armed clash,Military Forces of Niger (2023-),1,Islamic State (Sahel),2,12,,Western Africa,Niger,Tillaberi,Abala,Sanam,Ezza,15.1317,4.0732,2,Radio Television du Niger (RTN),Other,"On 23 April 2024, military forces clashed with likely IS Sahel militants in the area of Ezza (Abala, Tillaberi). There were two militants killed, four others arrested, and various materials were seized by the Niger army.",1
NIR30804,23,April,2024,23-04-2024,0,Political violence,Violence against civilians,Attack,Islamic State (Sahel),2,Civilians (Niger),7,27,Civilian targeting,Western Africa,Niger,Tillaberi,Ayerou,Ayerou,Baibatan Ganda,14.6828,0.9323,1,Undisclosed Source,Local partner-Other,"On 23 April 2024, IS Sahel militants shot a pastoralist and injured him in the village of Baibatan Ganda (Ayerou, Tillaberi). The militants stole his livestock before leaving. Alerted, the soldiers initiated an unsuccessful pursuit.",1
NIR30788,22,April,2024,22-04-2024,0,Political violence,Violence against civilians,Abduction/forced disappearance,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,2,Civilians (Niger),7,27,Civilian targeting,Western Africa,Niger,Diffa,Bosso,Bosso,Komadougou Yobe,13.7163,13.3782,2,Radio Television du Niger (RTN),Other,"On 22 April 2024, Boko Haram (JAS) militants abducted nine people and stole their livestock near Komadougou Yobe (Bosso, Diffa). The military carried out a pursuit operation which forced the militants to release the hostages unharmed and abandon the livestock as well as a band of 250 cartridges.",1
